frame,gpu_memory_mb
0,58.875
1,87.25
2,115.625
3,115.625
4,115.625
5,115.625
6,115.625
7,115.625
8,115.625
9,115.625
10,115.625
11,115.625
12,115.625
13,115.625
14,115.625
15,115.625
16,115.625
17,115.625
18,115.625
19,115.625
20,115.625
21,115.625
22,115.625
23,115.625
24,115.625
25,115.625
26,115.625
27,115.625
28,115.625
29,115.625
30,115.625
31,115.625
32,115.625
33,115.625
34,115.625
35,116.047
36,116.047
37,116.047
38,116.047
39,116.047
40,116.047
41,116.359
42,116.359
43,116.406
44,116.406
45,116.406
46,116.406
47,116.406
48,116.406
49,116.406
50,116.406
51,116.406
52,116.406
53,116.406
54,116.406
55,116.406
56,116.406
57,116.406
58,116.406
59,116.406
60,116.406
61,116.406
62,116.406
63,116.406
64,116.406
65,116.406
66,116.406
67,116.406
68,116.406
69,116.406
70,116.406
71,116.406
72,116.406
73,116.406
74,116.406
75,116.406
76,116.406
77,116.406
78,116.406
79,116.406
80,116.406
81,116.406
82,116.406
83,116.406
84,116.406
85,116.406
86,116.406
87,116.406
88,116.406
89,116.406
90,116.406
91,116.406
92,116.406
93,116.406
94,116.406
95,116.406
96,116.406
97,116.406
98,116.406
99,116.406
100,116.406
101,116.406
102,116.406
103,116.406
104,116.406
105,116.406
106,116.406
107,116.406
108,116.406
109,116.406
110,116.406
111,116.406
112,116.406
113,116.406
