frame,fps,cpu_ms,gpu_ms,rays_per_second,active_nodes,resident_nodes,offloaded_nodes,total_nodes
0,11.7253,0,0,0,4972,1744,8210,9954
1,48.9778,0,0,0,4972,1744,8210,9954
2,14.1689,60.7909,72.4423,1.27219e+07,4972,1744,8210,9954
3,41.9013,60.7909,72.4423,1.27219e+07,4972,1744,8210,9954
4,39.5008,256.343,276.171,3.33706e+06,4972,1744,8210,9954
5,2.66614,10.1093,122.538,7.52091e+06,4972,1744,8210,9954
6,20.1304,10.1093,122.538,7.52091e+06,4972,1744,8210,9954
7,37.1618,45.724,101.482,9.08144e+06,4972,1744,8210,9954
8,12.023,72.3154,180.459,5.10698e+06,4972,1744,8210,9954
9,10.2492,69.3559,189.119,4.87312e+06,4972,1744,8210,9954
10,8.56327,44.3486,180.904,5.09441e+06,4972,1744,8210,9954
11,15.1345,73.288,159.263,5.78666e+06,4972,1744,8210,9954
12,7.45328,37.113,190.722,4.83216e+06,4972,1744,8210,9954
13,15.1798,61.356,147.352,6.25441e+06,4972,1744,8210,9954
14,6.76039,1.96121,168.992,5.45351e+06,4972,1744,8210,9954
15,29.8986,50.1298,100.738,9.14852e+06,4972,1744,8210,9954
16,12.0556,159.514,175.771,5.24319e+06,4972,1744,8210,9954
17,5.40066,71.1849,88.5798,1.04042e+07,4972,1744,8210,9954
18,10.1355,71.1849,88.5798,1.04042e+07,4972,1744,8210,9954
19,55.5491,52.2227,87.3514,1.05505e+07,4972,1744,8210,9954
20,10.1569,41.726,157.414,5.85464e+06,4972,1744,8210,9954
21,14.9385,109.99,127.187,7.24602e+06,4972,1744,8210,9954
22,7.50552,109.99,127.187,7.24602e+06,4972,1744,8210,9954
23,55.7445,3.96079,38.8849,2.37007e+07,4972,1744,8210,9954
24,31.5721,61.7449,110.662,8.32803e+06,4972,1744,8210,9954
25,11.8201,83.124,184.531,4.99428e+06,4972,1744,8210,9954
26,8.62389,68.1933,201.882,4.56504e+06,4972,1744,8210,9954
27,9.96234,18.9986,136.768,6.73843e+06,4972,1744,8210,9954
28,20.4261,61.2075,127.909,7.20511e+06,4972,1744,8210,9954
29,11.8679,31.2869,132.238,6.96927e+06,4972,1744,8210,9954
30,14.5497,37.2499,123.626,7.45473e+06,4972,1744,8210,9954
31,15.364,25.3425,110.013,8.37718e+06,4972,1744,8210,9954
32,20.6606,15.9445,81.8806,1.12554e+07,4972,1744,8210,9954
33,19.7569,22.3596,89.5442,1.02921e+07,4972,1744,8210,9954
34,20.1326,38.7271,105.849,8.70676e+06,4972,1744,8210,9954
35,14.1648,152.133,102.525,8.98904e+06,4973,1744,8210,9954
36,1.39174,152.133,102.525,8.98904e+06,4973,1744,8210,9954
37,56.5426,13.4264,31.1036,2.963e+07,4973,1744,8210,9954
38,37.5284,25.8062,15.5648,5.92107e+07,4973,1744,8210,9954
39,56.753,13.7805,13.0936,7.03854e+07,4973,1744,8210,9954
40,53.148,12.7603,11.8608,7.77017e+07,4973,1744,8210,9954
41,55.6317,11.3171,10.5875,8.70464e+07,4997,1736,8218,9954
42,1.35102,19.3446,18.2467,5.05076e+07,5021,1744,8210,9954
43,1.34537,19.0535,15.4551,5.96307e+07,5045,1752,8202,9954
44,1.34189,18.3211,17.1889,5.36161e+07,5069,1762,8192,9954
45,1.33948,20.4435,17.3146,5.32268e+07,5093,1770,8184,9954
46,1.33075,20.5488,17.3113,5.32371e+07,5117,1778,8176,9954
47,1.32786,19.6351,15.8735,5.8059e+07,5141,1784,8170,9954
48,1.30095,21.7285,18.1707,5.0719e+07,5165,1794,8160,9954
49,1.309,18.929,14.8745,6.19584e+07,5189,1804,8150,9954
50,1.31363,19.0435,15.5049,5.94394e+07,5213,1814,8140,9954
51,1.30809,18.8875,15.0357,6.12941e+07,5237,1824,8130,9954
52,1.30127,19.2363,16.1737,5.69815e+07,5261,1830,8124,9954
